k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
comp,,103.34898,90.2771,96.4509,6.89808,13.6507,-0.69405,,,-0.25758,52.66411,50.68487,49.14901,3.51509,47.30189,3.38299,,41.94374
comp,cond,,,,,13.04599,-0.08934,96.46513,0.01423,,,,,,,,0.00698,
comp,ihx,,,,,13.96372,-1.00707,98.15198,1.70108,,,,,,,,0.83425,
comp,val,,,,,13.6507,-0.69405,96.4509,0.0,,,,,,,,0.0,
comp,eva,,,,,13.2674,-0.31075,101.89126,5.44036,,,,,,,,2.66808,
cond,,114.61826,86.54908,114.61826,-0.0,13.67194,-0.71529,,,0.0,97.9259,16.69237,97.9259,-0.0,16.69237,0.0,,18.05398
cond,comp,,,,,13.04599,-0.08934,114.61826,-0.0,,,,,,,,0.0,
cond,ihx,,,,,13.98789,-1.03124,114.61826,-0.0,,,,,,,,0.0,
cond,val,,,,,13.67194,-0.71529,114.61826,0.0,,,,,,,,-0.0,
cond,eva,,,,,13.32082,-0.36417,114.61826,-0.0,,,,,,,,0.0,
ihx,,35.68667,63.1956,30.38919,5.29747,14.60462,-1.64797,,,-0.40087,27.18823,8.49844,26.02029,1.16794,4.36891,4.12953,,14.39703
ihx,comp,,,,,13.96372,-1.00707,29.05539,-1.3338,,,,,,,,-1.03974,
ihx,cond,,,,,13.98789,-1.03124,32.72864,2.33945,,,,,,,,1.82367,
ihx,val,,,,,14.60462,-1.64797,30.38919,-0.0,,,,,,,,-0.0,
ihx,eva,,,,,14.22206,-1.26541,35.08189,4.6927,,,,,,,,3.65809,
val,,28.42021,54.99513,22.00741,6.41279,14.26618,-1.30953,,,0.47533,28.42021,-0.0,31.29264,-2.87243,-9.28523,9.28522,,-9.59018
val,comp,,,,,13.6507,-0.69405,20.2332,-1.77421,,,,,,,,-2.56892,
val,cond,,,,,13.67194,-0.71529,22.99238,0.98497,,,,,,,,1.42616,
val,ihx,,,,,14.60462,-1.64797,28.56868,6.56126,,,,,,,,9.5002,
val,eva,,,,,13.90128,-0.94463,22.17286,0.16544,,,,,,,,0.23955,
eva,,43.36635,,49.01344,-5.6471,13.90128,-0.94463,,,-0.18275,17.12861,26.23774,18.37741,-1.2488,30.63604,-4.3983,,37.20176
eva,comp,,,,,13.2674,-0.31075,46.76723,-2.24622,,,,,,,,-1.74949,
eva,cond,,,,,13.32082,-0.36417,46.58016,-2.43329,,,,,,,,-1.89519,
eva,ihx,,,,,14.22206,-1.26541,48.62015,-0.3933,,,,,,,,-0.30632,
eva,val,,,,,13.90128,-0.94463,48.62191,-0.39154,,,,,,,,-0.30495,
