,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,19.5738,18.0235,1.5502,0.9208,19.5738,
eva,737.5039,597.158,140.3459,0.8097,0.0,2958.028209254704
ihx,27.1274,27.1274,0.0,1.0,9.2166,373.79201374365795
exp,605.9473,605.9473,0.0,1.0,605.9473,
cond,,,0.0177,,,2362.4380815718014
tot,737.5039,595.5901,141.9138,0.8076,595.5901,
