,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,18.249,18.249,-0.0,1.0,18.249,
eva,737.5039,597.3147,140.1892,0.8099,-0.0,2958.0282092543275
ihx,27.874,16.6807,11.1933,0.5984,-0.0,361.6359878628964
exp,604.2318,604.2318,0.0,1.0,604.2318,
cond,,,0.1386,,,2372.04548162581
tot,737.5039,585.9827,151.5212,0.7945,585.9827,
