,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,18.0268,18.0268,0.0,1.0,18.0268,
eva,737.5039,597.1708,140.3331,0.8097,0.0,2958.028209254719
ihx,27.0847,27.0847,0.0,1.0,9.2478,374.4025881183961
exp,605.9357,605.9357,0.0,1.0,605.9357,
cond,,,0.0141,,,2360.8714190873998
tot,737.5039,597.1568,140.3471,0.8097,597.1568,
