,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,21.3889,21.3889,0.0,1.0,21.3889,
eva,737.5039,737.5039,-0.0,1.0,136.4697,2958.0282092546736
ihx,20.9192,12.2745,8.6447,0.5868,-0.0,297.6551517671257
exp,613.6263,577.1156,36.5108,0.9405,577.1156,
cond,,,0.1521,,,2265.831807628761
tot,737.5039,692.1964,45.3075,0.9386,692.1964,
