,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,21.9313,21.9313,0.0,1.0,21.9313,
eva,737.5039,737.5039,-0.0,1.0,140.3953,2958.0282092545967
ihx,14.1344,7.8871,6.2473,0.558,0.0,232.22908619187953
exp,612.6385,612.6385,0.0,1.0,612.6385,
cond,,,0.1541,,,2226.925680322811
tot,737.5039,731.1025,6.4014,0.9913,731.1025,
