,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,23.5268,21.6634,1.8633,0.9208,23.5268,
eva,737.5039,737.5039,-0.0,1.0,139.0754,2958.0282092545117
ihx,13.5135,13.5135,0.0,1.0,4.3237,249.456612930892
exp,615.7413,615.7413,0.0,1.0,615.7413,
cond,,,0.027,,,2222.414597209716
tot,737.5039,735.6136,1.8903,0.9974,735.6136,
