,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,18.1016,16.6681,1.4334,0.9208,18.1016,
eva,737.5039,592.1814,145.3225,0.803,0.0,2958.028209254569
ihx,47.8103,31.1033,16.707,0.6506,0.0,487.5408881875221
exp,569.6139,535.7296,33.8844,0.9405,535.7296,
cond,,,22.5286,,,2440.4002220413117
tot,737.5039,517.628,219.8759,0.7019,517.628,
