,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,21.1355,21.1355,0.0,1.0,21.1355,
eva,737.5039,737.5039,-0.0,1.0,135.8056,2958.028209254708
ihx,20.255,20.255,0.0,1.0,6.7231,313.00514466897414
exp,616.0906,579.4332,36.6574,0.9405,579.4332,
cond,,,0.0201,,,2257.201791014425
tot,737.5039,700.8264,36.6775,0.9503,700.8264,
