,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,17.4096,17.4096,0.0,1.0,17.4096,
eva,737.5039,595.6034,141.9005,0.8076,0.0,2958.028209254717
ihx,36.4792,36.4792,0.0,1.0,12.6819,441.2498227504759
exp,600.3181,564.5992,35.7189,0.9405,564.5992,
cond,,,0.0129,,,2398.1566886562373
tot,737.5039,559.8715,177.6324,0.7591,559.8715,
