,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,20.5597,20.5597,-0.0,1.0,20.5597,
eva,737.5039,737.5039,-0.0,1.0,134.2225,2958.0282092543084
ihx,26.3167,26.3167,-0.0,1.0,8.746,338.9360708002033
exp,594.1252,558.7747,35.3504,0.9405,558.7747,
cond,,,20.9699,,,2276.8446199185655
tot,737.5039,681.1836,56.3203,0.9236,681.1836,
