,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,23.8184,21.932,1.8864,0.9208,23.8184,
eva,737.5039,737.5039,-0.0,1.0,140.3226,2958.0282092546736
ihx,14.1523,7.9388,6.2135,0.561,-0.0,231.32454758745757
exp,612.7311,612.7311,0.0,1.0,612.7311,
cond,,,0.1686,,,2228.7928379685814
tot,737.5039,729.2354,8.2685,0.9888,729.2354,
