,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,21.2694,21.2694,-0.0,1.0,21.2694,
eva,737.5039,737.5039,0.0,1.0,136.3544,2958.028209254569
ihx,19.7685,12.2594,7.5091,0.6202,-0.0,273.94924428682765
exp,594.1337,594.1337,0.0,1.0,594.1337,
cond,,,20.7762,,,2248.8095265642473
tot,737.5039,709.2187,28.2852,0.9616,709.2187,
