,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,22.9519,21.1341,1.8178,0.9208,22.9519,
eva,737.5039,737.5039,-0.0,1.0,135.763,2958.0282092543125
ihx,20.2934,20.2934,-0.0,1.0,6.6891,312.2340287655864
exp,616.1607,579.4991,36.6616,0.9405,579.4991,
cond,,,0.0253,,,2259.028940515493
tot,737.5039,698.9993,38.5046,0.9478,698.9993,
