,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,17.334,17.334,-0.0,1.0,17.334,
eva,737.5039,595.795,141.7089,0.8079,0.0,2958.028209254391
ihx,34.9818,34.9818,0.0,1.0,11.9275,407.4090862992912
exp,579.2527,579.2527,0.0,1.0,579.2527,
cond,,,21.9488,,,2384.1820629843014
tot,737.5039,573.8461,163.6578,0.7781,573.8461,
