,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,22.9591,21.1407,1.8184,0.9208,22.9591,
eva,737.5039,737.5039,-0.0,1.0,136.2108,2958.0282092544003
ihx,18.604,18.604,-0.0,1.0,6.0094,275.3725153626159
exp,595.7571,595.7571,0.0,1.0,595.7571,
cond,,,20.6673,,,2243.0099749950655
tot,737.5039,715.0182,22.4857,0.9695,715.0182,
