,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,21.129,21.129,-0.0,1.0,21.129,
eva,737.5039,737.5039,0.0,1.0,136.2574,2958.028209254453
ihx,18.5804,18.5804,-0.0,1.0,6.0424,276.1750856534289
exp,595.6896,595.6896,0.0,1.0,595.6896,
cond,,,20.6435,,,2241.167819530134
tot,737.5039,716.8604,20.6435,0.972,716.8604,
