,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
pump,21.6635,21.6635,0.0,1.0,21.6635,
eva,737.5039,737.5039,-0.0,1.0,139.1436,2958.0282092545403
ihx,13.4849,13.4849,-0.0,1.0,4.3533,250.2930561165315
exp,615.649,615.649,0.0,1.0,615.649,
cond,,,0.0214,,,2220.5457349136777
tot,737.5039,737.4825,0.0214,1.0,737.4825,
