,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,8.1396,8.1396,0.0,1.0,8.1396,,0.0
eva,311.8135,311.8135,-0.0,1.0,59.09,1677.7263927666754,-1.0158439400890615e-12
ihx,11.5566,11.5566,0.0,1.0,4.2154,202.43201750871916,0.0
exp,256.6153,234.0892,22.5262,0.9122,234.0892,,0.09622901511641437
cond,,,0.0324,,,1388.4714753226376,0.004483343341036061
tot,311.8135,289.2549,22.5585,0.9277,289.2549,,0.07798844530681763
