,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,7.2996,7.2996,0.0,1.0,7.2996,,5.872721359848066e-13
eva,311.8135,236.0249,75.7886,0.7569,0.0,1677.7263927665629,0.32110423499756274
ihx,13.186,5.4226,7.7634,0.4112,0.0,177.59151727829473,1.4316755560761512
exp,235.187,235.187,0.0,1.0,235.187,,2.4303355859585034e-14
cond,,,0.3741,,,1449.8390121005307,0.05056335167054726
tot,311.8135,227.8874,83.9261,0.7308,227.8874,,0.36827874295375346
