,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,8.4765,8.4765,0.0,1.0,8.4765,,1.1985922654027973e-13
eva,249.0295,249.0295,-0.0,1.0,49.199,1259.2248678005653,-9.348338542103483e-13
ihx,4.4116,1.0569,3.3547,0.2396,-0.0,64.69389824091094,3.1741901560795616
exp,204.6519,185.9383,18.7136,0.9086,185.9383,,0.10064437370174255
cond,,,0.3003,,,1032.5641208267568,0.05709513427146362
tot,249.0295,226.6607,22.3687,0.9102,226.6607,,0.09868810490198143
