,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,8.154,7.5148,0.6392,0.9216,8.154,,0.08505637486661391
eva,249.0295,198.7178,50.3117,0.798,0.0,1259.2248678008177,0.2531817186225145
ihx,9.3834,4.6011,4.7822,0.4904,-0.0,110.65776084819609,1.0393537639478325
exp,175.9447,159.8558,16.0889,0.9086,159.8558,,0.10064631944087123
cond,,,25.5056,,,1107.5230394269001,4.412534417880394
tot,249.0295,151.7018,97.3276,0.6092,151.7018,,0.6415719521488351
