,m [kg/s],T [°C],h [kJ/kg],p [bar],s [J/kgK]
11,12.96,168.8,522.07,13.89,1873.46
12,12.96,75.0,293.76,13.19,1299.43
13,12.96,29.77,236.11,13.0,1122.23
14,12.96,5.0,236.11,0.31,1129.98
15,12.96,3.9,382.37,0.3,1658.36
16,12.96,70.0,440.03,0.29,1845.29
21,10.0,70.0,293.45,5.0,954.85
22,10.0,140.0,589.25,5.0,1739.07
