,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,973.916,0.0,0.0,0.0
COND,0.0,-2958.028,0.406,114.894
IHX,-29.507,-849.06,0.0,0.0
VAL,-23.334,0.0,-0.0,-0.0
EVA,0.0,-2036.953,0.204,57.81
SUM,921.076,-5844.041,0.61,172.704
