,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,1096.884,0.0,0.382,108.038
COND,-120.086,-2958.028,0.0,0.0
IHX,0.0,-739.067,0.126,35.667
VAL,-27.573,0.0,-0.0,-0.0
EVA,0.0,-2008.803,0.202,57.299
SUM,949.225,-5705.898,0.71,201.004
