,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,973.883,0.0,0.338,95.603
COND,0.0,-2958.028,0.346,98.019
IHX,-22.589,-757.482,0.0,0.0
VAL,-20.097,0.0,-0.0,-0.0
EVA,-0.036,-2026.831,-0.0,-0.0
SUM,931.161,-5742.342,0.684,193.621
