,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,974.362,0.0,0.0,0.0
COND,0.0,-2958.028,0.346,98.088
IHX,0.0,-812.673,0.142,40.254
VAL,-30.21,0.0,-0.0,-0.0
EVA,0.0,-2013.876,0.203,57.561
SUM,944.152,-5784.577,0.692,195.903
