,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,901.809,0.0,-0.0,-0.0
COND,-121.201,-2958.028,0.0,0.0
IHX,-20.907,-754.16,0.0,0.0
VAL,-22.119,0.0,-0.0,-0.0
EVA,-0.039,-2220.446,0.0,0.0
SUM,737.543,-5932.634,-0.0,-0.0
