,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,897.566,0.0,-0.0,-0.0
COND,-117.199,-2958.028,0.0,0.0
IHX,-20.913,-754.227,0.0,0.0
VAL,-21.872,0.0,-0.0,-0.0
EVA,-0.039,-2220.446,0.0,0.0
SUM,737.543,-5932.701,-0.0,-0.0
