,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,915.177,0.0,-0.0,-0.0
COND,-63.47,-2958.028,0.181,51.114
IHX,-0.407,-762.551,0.128,36.357
VAL,-26.249,0.0,-0.0,-0.0
EVA,-0.037,-2132.977,0.0,0.0
SUM,825.013,-5853.557,0.309,87.472
