,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,1008.698,0.0,0.353,99.925
COND,-55.288,-2958.028,0.2,56.642
IHX,-0.287,-725.695,0.12,34.0
VAL,-24.98,0.0,-0.0,-0.0
EVA,-0.036,-2029.886,-0.0,-0.0
SUM,928.107,-5713.609,0.673,190.567
