,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
comp,1062.9423806601797,959.5934966169075,103.34888404327214,0.9027709441982326,1062.9423806601797,
cond,852.1203040134965,737.5038993650878,114.6164046484087,0.8654926961503392,-4.547473508864641e-13,2958.028209254569
ihx,96.96315462217207,61.276450749053545,35.68670387311853,0.6319560351333884,0.0,747.0517866790525
val,63.14910836614387,34.729013141351196,28.420095224792814,0.5499525494483539,0.0,
eva,,,43.36639350549965,,,1895.0858285943889
tot,1062.94238066018,737.503899365088,325.43848129509183,0.6938324341786369,1062.94238066018,
