,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
comp,899.8422,899.8422,-0.0,1.0,899.8422,
cond,856.9316,856.9316,-0.0,1.0,119.4277,2958.028209254569
ihx,92.3902,92.3902,0.0,1.0,20.9032,754.1085953811044
val,22.0074,22.0074,-0.0,1.0,22.0074,
eva,,,0.0,,,2220.524309884872
tot,737.5039,737.5039,0.0,1.0,737.5039,
