,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,1106.201,0.0,0.378,107.163
COND,-145.306,-2958.028,0.0,0.0
IHX,-25.617,-782.895,0.0,0.0
VAL,-21.771,0.0,-0.0,-0.0
EVA,0.0,-2044.521,0.205,57.932
SUM,913.507,-5785.444,0.583,165.095
