,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,898.411,0.0,-0.0,-0.0
COND,-58.76,-2958.028,0.197,55.778
IHX,-24.53,-808.766,0.008,2.265
VAL,-19.498,0.0,-0.0,-0.0
EVA,-0.038,-2162.405,0.0,0.0
SUM,795.585,-5929.199,0.205,58.043
