,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,1063.557,0.0,0.363,102.842
COND,-31.896,-2958.028,0.266,75.302
IHX,-28.888,-824.231,0.003,0.937
VAL,-19.593,0.0,-0.0,-0.0
EVA,0.0,-1974.847,0.198,56.06
SUM,983.182,-5757.106,0.83,235.142
