,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,979.146,0.0,0.0,0.0
COND,-119.971,-2958.028,0.0,0.0
IHX,-26.932,-822.734,0.0,0.0
VAL,-22.406,0.0,-0.0,-0.0
EVA,0.0,-2148.192,0.215,60.872
SUM,809.836,-5928.954,0.215,60.872
