,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,992.001,895.5497,96.4513,0.9028,992.001,,0.10770069243656462
cond,855.2989,855.2989,-0.0,1.0,117.795,2958.02820925463,-4.064738427375401e-14
ihx,88.4203,88.4203,-0.0,1.0,20.0175,721.5740745928919,-8.737481002922059e-15
val,20.2333,20.2333,0.0,1.0,20.2333,,1.9314256860525346e-13
eva,,,0.0,,,2124.072987696275,3.3650948694230465e-10
tot,833.9552,737.5039,96.4513,0.8843,833.9552,,0.13078076234760797
