,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,1015.0553,962.2458,52.8096,0.948,1015.0553,,0.05488158585262591
cond,851.6498,737.5039,114.1459,0.866,-0.0,2958.02820925463,0.15477327372668134
ihx,99.4133,62.8268,36.5866,0.632,-0.0,765.9522691625376,0.5823405510346342
val,65.1535,35.6066,29.5469,0.5465,0.0,,2.224168523428426
eva,,,44.4625,,,1942.9728756023073,3.346954817322935
tot,1015.0553,737.5039,277.5514,0.7266,1015.0553,,0.37633893803980795
