,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,1002.418,0.0,0.351,99.309
COND,-132.513,-2958.028,-0.027,-7.539
IHX,-20.651,-723.184,0.008,2.284
VAL,-17.62,0.0,-0.0,-0.0
EVA,-0.037,-2126.395,0.0,0.0
SUM,831.596,-5807.607,0.332,94.054
