,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,907.301,0.0,-0.0,-0.0
COND,-111.367,-2958.028,0.0,0.0
IHX,0.0,-704.633,0.107,30.403
VAL,-27.949,0.0,-0.0,-0.0
EVA,-0.038,-2190.044,0.0,0.0
SUM,767.946,-5852.705,0.107,30.403
