,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,1018.539,0.0,0.359,101.672
COND,-123.609,-2958.028,0.0,0.0
IHX,0.0,-672.37,0.102,29.011
VAL,-26.669,0.0,-0.0,-0.0
EVA,-0.037,-2089.767,0.0,0.0
SUM,868.224,-5720.166,0.462,130.683
