,P [kW],Q [kW],S_gen [kW/K],E_D [kW]
COMP,998.005,0.0,-0.0,-0.0
COND,-121.617,-2958.028,0.0,0.0
IHX,0.0,-776.593,0.132,37.474
VAL,-29.918,0.0,-0.0,-0.0
EVA,0.0,-2111.558,0.213,60.226
SUM,846.47,-5846.18,0.345,97.7
