label,eta
optimal_all_real,0.1508179451100246
optimal_eva_cond,0.1708341213401429
optimal_eva_ihx,0.1873358251017596
optimal_pump_unavoid,0.1513330610976363
optimal_ihx_unavoid,0.1515498756101686
optimal_eva_exp,0.1726073101232334
optimal_eva_unavoid,0.1600031199433913
optimal_pump_eva,0.1888781882071823
optimal_eva,0.1899203519793486
optimal_exp_unavoid,0.155927073071677
optimal_cond_unavoid,0.1619305111813531
optimal_cond,0.263459243981805
optimal_pump_cond,0.2622769119781177
optimal_ihx_cond,0.262371430542908
optimal_exp_cond,0.2450873276952763
optimal_ihx_exp,0.2649512478532772
optimal_pump_ihx,0.2845938343242492
optimal_ihx,0.2858792451616729
optimal_exp,0.2655389317414047
optimal_pump_exp,0.2643230681551452
optimal_all_ideal,0.2861759532376962
optimal_pump,0.2849298290351177
optimal_all_real,0.1508179451100246
optimal_eva_cond,0.1708341213401429
optimal_all_real,0.1508179451100246
optimal_eva_cond,0.1708341213401429
optimal_eva_ihx,0.1873358251017596
optimal_pump_unavoid,0.1513330610976363
optimal_ihx_unavoid,0.1515498756101686
optimal_eva_exp,0.1726073101232334
optimal_eva_unavoid,0.1600031199433913
optimal_pump_eva,0.1888781882071823
optimal_eva,0.1899203519793486
optimal_exp_unavoid,0.155927073071677
optimal_cond_unavoid,0.1619305111813531
optimal_cond,0.263459243981805
optimal_pump_cond,0.2622769119781177
optimal_ihx_cond,0.262371430542908
optimal_exp_cond,0.2450873276952763
optimal_ihx_exp,0.2649512478532772
optimal_pump_ihx,0.2845938343242492
optimal_ihx,0.2858792451616729
optimal_exp,0.2655389317414047
optimal_pump,0.2849298290351177
optimal_all_ideal,0.2861759532376962
optimal_pump_exp,0.2643230681551452
optimal_all_real,0.1508179451100246
optimal_eva_cond,0.1708341213401429
optimal_eva_ihx,0.1873358251017596
optimal_pump_unavoid,0.1513330610976363
optimal_ihx_unavoid,0.1515498756101686
optimal_eva_exp,0.1726073101232334
optimal_eva_unavoid,0.1600031199433913
optimal_eva,0.1899203519793486
optimal_pump_eva,0.1888781882071823
optimal_exp_unavoid,0.155927073071677
optimal_cond_unavoid,0.1619305111813531
optimal_pump_cond,0.2622769119781177
optimal_cond,0.263459243981805
optimal_ihx_cond,0.262371430542908
optimal_exp_cond,0.2450873276952763
optimal_ihx_exp,0.2649512478532772
optimal_pump_ihx,0.2845938343242492
optimal_ihx,0.2858792451616729
optimal_pump_exp,0.2643230681551452
optimal_exp,0.2655389317414047
optimal_all_ideal,0.2861759532376962
optimal_pump,0.2849298290351177
optimal_all_real,0.1508179451100246
optimal_eva_cond,0.1708341213401429
optimal_eva_ihx,0.1873358251017596
optimal_pump_unavoid,0.1515306635032964
optimal_ihx_unavoid,0.1515498756101686
optimal_eva_unavoid,0.1600031199433913
optimal_eva_exp,0.1726073101232334
optimal_eva,0.1899203519793486
optimal_pump_eva,0.1888781882071823
optimal_exp_unavoid,0.1593138246847191
optimal_cond_unavoid,0.1619305111813531
optimal_cond,0.263459243981805
optimal_pump_cond,0.2622769119781177
optimal_ihx_cond,0.262371430542908
optimal_exp_cond,0.2450873276952763
optimal_ihx_exp,0.2649512478532772
optimal_ihx,0.2858792451616729
optimal_pump_ihx,0.2845938343242492
optimal_pump_exp,0.2643230681551452
optimal_all_ideal,0.2861759532376962
optimal_exp,0.2655389317414047
optimal_pump,0.2849298290351177
optimal_all_real,0.1508179451100246
optimal_eva_cond,0.1708341219019273
optimal_eva_ihx,0.1873358251017596
optimal_pump_unavoid,0.1515306635032964
optimal_eva_unavoid,0.1600031199433913
optimal_eva_exp,0.1726073101232334
optimal_ihx_unavoid,0.1515498756101686
optimal_pump_eva,0.1888781882071823
optimal_eva,0.1899203519793486
optimal_exp_unavoid,0.1593138246847191
optimal_cond_unavoid,0.1619305111813531
optimal_ihx_cond,0.262371430542908
optimal_exp_cond,0.245087329004748
optimal_pump_cond,0.2622769112433886
optimal_cond,0.263459241741974
optimal_ihx_exp,0.2649512478532772
optimal_pump_ihx,0.2845938343242492
optimal_ihx,0.2858792451616729
optimal_pump_exp,0.2643230681551452
optimal_exp,0.2655389317414047
optimal_pump,0.2849298290351177
optimal_all_ideal,0.2861759532376962
