k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
pump,,2.53618,85.31006,3.02339,-0.48721,6.43833,0.78854,,,-0.08999,0.75854,1.77764,0.90426,-0.14572,2.11914,-0.34149,,1.84072
pump,eva,,,,,6.85045,0.37642,2.72778,-0.29562,,,,,,,,-0.2072,
pump,ihx,,,,,6.36217,0.8647,3.09334,0.06995,,,,,,,,0.04903,
pump,exp,,,,,6.58672,0.64015,2.98175,-0.04164,,,,,,,,-0.02919,
pump,cond,,,,,6.73324,0.49363,2.89348,-0.12991,,,,,,,,-0.09106,
eva,,120.17631,80.19196,122.07715,-1.90084,6.84756,0.37931,,,0.91052,91.68676,28.48955,91.32854,0.35822,30.7486,-2.25906,,27.40743
eva,pump,,,,,6.85045,0.37642,122.02096,-0.05619,,,,,,,,-0.06677,
eva,ihx,,,,,6.77733,0.44954,123.64792,1.57078,,,,,,,,1.86679,
eva,exp,,,,,6.98655,0.24032,120.11811,-1.95904,,,,,,,,-2.32822,
eva,cond,,,,,7.15417,0.0727,119.71023,-2.36692,,,,,,,,-2.81297,
ihx,,14.72042,57.13788,6.31934,8.40107,6.35884,0.86803,,,1.61034,10.16393,4.55649,1.12836,9.03557,5.19098,-0.63449,,4.67811
ihx,pump,,,,,6.36217,0.8647,6.26123,-0.05811,,,,,,,,0.00439,
ihx,eva,,,,,6.77733,0.44954,8.44157,2.12223,,,,,,,,-0.16028,
ihx,exp,,,,,6.51092,0.71595,8.75713,2.43779,,,,,,,,-0.18411,
ihx,cond,,,,,6.65161,0.57526,8.60817,2.28883,,,,,,,,-0.17286,
exp,,38.07569,91.28795,44.07503,-5.99933,6.58332,0.64355,,,-0.79006,18.1703,19.90539,21.03327,-2.86297,23.04175,-3.13636,,20.31842
exp,pump,,,,,6.58672,0.64015,44.08969,0.01467,,,,,,,,0.00767,
exp,eva,,,,,6.98655,0.24032,43.16545,-0.90958,,,,,,,,-0.47551,
exp,ihx,,,,,6.51092,0.71595,43.4427,-0.63232,,,,,,,,-0.33057,
exp,cond,,,,,6.87253,0.35434,40.39299,-3.68203,,,,,,,,-1.92491,
cond,,49.49038,,45.0903,4.40008,6.73001,0.49686,,,0.10913,20.45556,29.03482,19.0492,1.40636,26.04109,2.99372,,28.96056
cond,pump,,,,,6.73324,0.49363,45.16198,0.07168,,,,,,,,0.04877,
cond,eva,,,,,7.15417,0.0727,47.89363,2.80333,,,,,,,,1.90733,
cond,ihx,,,,,6.65161,0.57526,45.56021,0.46991,,,,,,,,0.31972,
cond,exp,,,,,6.87253,0.35434,46.03632,0.94602,,,,,,,,0.64365,
