,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,393.435,352.7955,40.6395,0.8967,393.435,,0.11519276719421571
cond,330.9838,330.9838,-0.0,1.0,49.2195,1468.5302039738579,-6.504534390229942e-13
ihx,29.087,17.4339,11.6531,0.5994,0.0,262.5413404952059,0.6684151392770985
val,10.1586,10.1586,0.0,1.0,10.1586,,1.9314256860525346e-13
eva,,,0.0,,,1134.47322116728,2.7223769905049262e-09
tot,334.057,281.7644,52.2926,0.8435,334.057,,0.185589801578321
