,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,376.3091,376.3091,0.0,1.0,376.3091,,7.709137425660065e-15
cond,331.7036,331.7036,0.0,1.0,49.9392,1468.5302039740668,6.738858273992489e-13
ihx,32.5598,32.5598,-0.0,1.0,9.8622,321.16753064245177,-1.0282032273853839e-13
val,8.2785,8.2785,0.0,1.0,8.2785,,2.5752342480700464e-13
eva,,,26.4648,,,1160.300971168578,4.111247317970532
tot,308.2292,281.7644,26.4648,0.9141,308.2292,,0.09392544916193829
