,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,7.7722,7.7722,-0.0,1.0,7.7722,,-7.06909641468821e-14
eva,213.6812,213.6812,-0.0,1.0,49.4284,1049.7917291885267,-1.4805585757403817e-12
ihx,1.6236,-0.0597,1.6833,-0.0367,0.0,11.038788824966577,-28.212932419388995
exp,170.0884,170.0884,0.0,1.0,170.0884,,9.690670235324664e-15
cond,,,0.2533,,,838.0470893985819,0.059355807574313246
tot,213.6812,211.7446,1.9366,0.9909,211.7446,,0.009145715905018743
