,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,16.3431,13.9422,2.4009,0.8531,16.3431,,0.17220401523935366
eva,483.9179,483.9179,0.0,1.0,104.1706,2105.749073881957,7.923914285610884e-13
ihx,4.6652,0.5827,4.0825,0.1249,0.0,55.020659590403426,7.005896020615574
exp,389.1779,389.1779,0.0,1.0,389.1779,,1.0516248686910217e-12
cond,,,0.429,,,1628.7435564418574,0.08002996385750549
tot,483.9179,477.0055,6.9124,0.9857,477.0055,,0.014491156646733196
