,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,13.6634,13.6634,-0.0,1.0,13.6634,,-8.974043682451545e-13
eva,483.9179,483.9179,-0.0,1.0,92.6649,2105.7490738823985,-1.5592390098601212e-13
ihx,9.2033,3.7422,5.461,0.4066,0.0,103.73865460131995,1.459304542598893
exp,361.1032,361.1032,-0.0,1.0,361.1032,,-1.9974136587215282e-15
cond,,,38.3522,,,1665.6444689384762,6.846649942940431
tot,483.9179,440.1046,43.8133,0.9095,440.1046,,0.09955195578186385
