,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
comp,898.0117,898.0117,0.0,1.0,898.0117,
cond,844.9878,737.5039,107.4839,0.8728,0.0,2958.028209254549
ihx,90.9872,64.7438,26.2435,0.7116,0.0,715.3938576707052
val,26.7804,26.7804,-0.0,1.0,26.7804,
eva,,,0.0,,,2086.7969102438287
tot,871.2313,737.5039,133.7274,0.8465,871.2313,
