,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
comp,946.9091,897.3409,49.5681,0.9477,946.9091,
cond,855.8103,855.8103,-0.0,1.0,118.3064,2958.028209254569
ihx,90.3506,90.3506,0.0,1.0,20.4484,737.3920333558549
val,21.0823,21.0823,-0.0,1.0,21.0823,
eva,,,0.0,,,2170.956177669901
tot,787.072,737.5039,49.5681,0.937,787.072,
