,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
comp,909.7265,909.7265,-0.0,1.0,909.7265,
cond,857.7857,857.7857,0.0,1.0,120.2818,2958.028209254605
ihx,90.1276,64.132,25.9955,0.7116,-0.0,727.4288736142539
val,25.9453,25.9453,-0.0,1.0,25.9453,
eva,,,0.0,,,2194.5287932901397
tot,763.4994,737.5039,25.9955,0.966,763.4994,
