,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
comp,956.7563,906.6727,50.0836,0.9477,956.7563,
cond,856.3468,856.3468,-0.0,1.0,118.8429,2958.028209254569
ihx,88.1126,62.6983,25.4144,0.7116,-0.0,711.1516508045885
val,24.9116,24.9116,-0.0,1.0,24.9116,
eva,,,0.0,,,2145.0263512343404
tot,813.0019,737.5039,75.498,0.9071,813.0019,
