,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
comp,888.8617,888.8617,0.0,1.0,888.8617,
cond,844.9878,737.5039,107.4839,0.8728,0.0,2958.028209254605
ihx,93.79,93.79,0.0,1.0,21.1997,744.516991690865
val,22.6742,22.6742,0.0,1.0,22.6742,
eva,,,0.0,,,2113.0403816393086
tot,844.9878,737.5039,107.4839,0.8728,844.9878,
