,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
comp,936.524,887.4995,49.0245,0.9477,936.524,
cond,844.9878,737.5039,107.4839,0.8728,0.0,2958.0282092545285
ihx,91.897,91.897,0.0,1.0,20.779,728.536486614532
val,21.7326,21.7326,-0.0,1.0,21.7326,
eva,,,0.0,,,2064.0158803197123
tot,894.0123,737.5039,156.5084,0.8249,894.0123,
