,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
comp,920.3701,920.3701,0.0,1.0,920.3701,
cond,856.3447,856.3447,0.0,1.0,118.8408,2958.0282092544994
ihx,93.0207,93.0207,0.0,1.0,22.4784,773.6146026836412
val,21.9039,21.9039,0.0,1.0,21.9039,
eva,,,19.6431,,,2200.8812292628513
tot,757.147,737.5039,19.6431,0.9741,757.147,
