,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
comp,968.3247,917.6355,50.6892,0.9477,968.3247,
cond,855.4868,855.4868,-0.0,1.0,117.9829,2958.028209254569
ihx,90.9206,90.9206,0.0,1.0,21.9778,756.0740975461317
val,20.9757,20.9757,0.0,1.0,20.9757,
eva,,,19.1953,,,2150.6398379408943
tot,807.3884,737.5039,69.8845,0.9134,807.3884,
