,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
comp,909.0582,909.0582,0.0,1.0,909.0582,
cond,844.9878,737.5039,107.4839,0.8728,0.0,2958.0282092545467
ihx,94.5895,94.5895,0.0,1.0,22.7896,763.8011514774824
val,22.5751,22.5751,-0.0,1.0,22.5751,
eva,,,18.7057,,,2094.3347210579177
tot,863.6935,737.5039,126.1896,0.8539,863.6935,
