,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW]
comp,927.6047,927.6047,0.0,1.0,927.6047,
cond,856.781,856.781,-0.0,1.0,119.2771,2958.02820925463
ihx,91.293,64.9613,26.3317,0.7116,0.0,755.9277808117505
val,25.0037,25.0037,0.0,1.0,25.0037,
eva,,,19.4883,,,2174.7043100573987
tot,783.3239,737.5039,45.82,0.9415,783.3239,
