k,l,ED [kW],epsilon [%],ED EN [kW],ED EX [kW],m EN [kg/s],m EX [kg/s],ED kl [kW],ED EX kl [kW],ED MX [kW],ED UN [kW],ED AV [kW],ED UN EN [kW],ED UN EX [kW],ED AV EN [kW],ED AV EX [kW],ED AV EX kl [kW],ED AV SUM [kW]
pump,,2.8454,85.30831,3.74785,-0.90246,7.45639,0.95118,,,-0.13694,1.40492,1.44048,1.8505,-0.44558,1.89735,-0.45687,,1.96006
pump,eva,,,,,7.94006,0.46751,3.2646,-0.48325,,,,,,,,-0.24465,
pump,ihx,,,,,7.34576,1.06181,3.88638,0.13853,,,,,,,,0.07013,
pump,exp,,,,,7.63361,0.77396,3.61494,-0.13291,,,,,,,,-0.06729,
pump,cond,,,,,7.76909,0.63848,3.45996,-0.28789,,,,,,,,-0.14574,
eva,,151.41337,79.46948,142.32719,9.08618,7.93639,0.47118,,,2.238,109.66774,41.74563,111.36792,-1.70018,30.95926,10.78636,,32.35886
eva,pump,,,,,7.94006,0.46751,142.32541,-0.00177,,,,,,,,-0.0021,
eva,ihx,,,,,7.8303,0.57727,142.88631,0.55912,,,,,,,,0.66375,
eva,exp,,,,,8.1127,0.29487,143.56347,1.23628,,,,,,,,1.46761,
eva,cond,,,,,8.28852,0.11905,147.38174,5.05455,,,,,,,,6.00034,
ihx,,23.6347,60.45432,9.17863,14.45606,7.34158,1.06599,,,3.07965,17.48166,6.15303,2.38177,15.0999,6.79687,-0.64383,,7.73547
ihx,pump,,,,,7.34576,1.06181,9.10012,-0.07851,,,,,,,,0.0035,
ihx,eva,,,,,7.8303,0.57727,12.80771,3.62908,,,,,,,,-0.16163,
ihx,exp,,,,,7.5261,0.88147,13.05967,3.88104,,,,,,,,-0.17285,
ihx,cond,,,,,7.68543,0.72214,13.12343,3.9448,,,,,,,,-0.17569,
exp,,43.96551,91.56806,52.24419,-8.27868,7.62951,0.77806,,,-1.0214,29.94806,14.01745,35.58727,-5.63921,16.65692,-2.63948,,18.62659
exp,pump,,,,,7.63361,0.77396,52.25537,0.01117,,,,,,,,0.00356,
exp,eva,,,,,8.1127,0.29487,50.64556,-1.59863,,,,,,,,-0.50969,
exp,ihx,,,,,7.5261,0.88147,51.5735,-0.67069,,,,,,,,-0.21384,
exp,cond,,,,,7.93278,0.47479,47.24506,-4.99914,,,,,,,,-1.59386,
cond,,57.56158,,52.03471,5.52686,7.76521,0.64236,,,0.2601,23.79844,33.76313,21.98018,1.81826,30.05453,3.7086,,34.13958
cond,pump,,,,,7.76909,0.63848,52.12078,0.08607,,,,,,,,0.05775,
cond,eva,,,,,8.28852,0.11905,55.48556,3.45085,,,,,,,,2.31556,
cond,ihx,,,,,7.68543,0.72214,52.65848,0.62377,,,,,,,,0.41856,
cond,exp,,,,,7.93278,0.47479,53.1408,1.10609,,,,,,,,0.7422,
