,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
comp,609.3343,609.3343,0.0,1.0,609.3343,,9.787664612164282e-15
cond,564.9569,483.9179,81.0391,0.8566,-0.0,2105.7490738823653,0.16746447449366364
ihx,77.5962,52.4469,25.1493,0.6759,0.0,561.4500091684755,0.47951962658135117
val,19.2281,19.2281,0.0,1.0,19.2281,,6.438085620175115e-14
eva,,,0.0,,,1515.6428298613178,3.396181114112551e-10
tot,590.1062,483.9179,106.1884,0.8201,590.1062,,0.2194346799100962
