,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,7.5431,7.5431,-0.0,1.0,7.5431,,-1.1090878220276724e-13
eva,281.7644,219.0756,62.6888,0.7775,-0.0,1468.5302039737676,0.2861515974340499
ihx,6.1173,6.1173,0.0,1.0,2.2454,136.90735124673992,2.736328151201e-13
exp,224.3435,224.3435,-0.0,1.0,224.3435,,-1.8645450393101865e-15
cond,,,0.0298,,,1249.4844460584459,0.004587453167054889
tot,281.7644,219.0458,62.7186,0.7774,219.0458,,0.2863266056783155
