,EF [kW],EP [kW],ED [kW],epsilon,P [kW],Q [kW],unavoid ratio
pump,8.2252,8.2252,-0.0,1.0,8.2252,,-1.0297139608023575e-13
eva,281.7644,281.7644,0.0,1.0,46.9202,1468.530203973968,7.796140749737594e-13
ihx,11.5616,11.5616,-0.0,1.0,3.0444,170.26150755021644,-2.923473288329358e-13
exp,211.7937,192.7971,18.9966,0.9103,192.7971,,0.09853141470604487
cond,,,28.2313,,,1233.9936876674956,4.291949632684705
tot,281.7644,234.5365,47.2279,0.8324,234.5365,,0.20136680933467835
